世界名,时间,玩家名,玩家ID,容器名,物品名,物品代码,数量
萌新天堂,2023-07-01 00:01,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,-1
萌新天堂,2023-07-01 00:01,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,1
萌新天堂,2023-07-01 00:06,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,1
萌新天堂,2023-07-01 00:06,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,-1
萌新天堂,2023-07-01 00:19,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,-1
萌新天堂,2023-07-01 00:19,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,1
萌新天堂,2023-07-01 00:25,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,1
萌新天堂,2023-07-01 00:25,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,-1
萌新天堂,2023-07-01 00:34,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,-1
萌新天堂,2023-07-01 00:34,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,1
萌新天堂,2023-07-01 00:42,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,1
萌新天堂,2023-07-01 00:42,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,-1
萌新天堂,2023-07-01 00:45,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,1
萌新天堂,2023-07-01 00:45,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,-1
萌新天堂,2023-07-01 00:50,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,1
萌新天堂,2023-07-01 00:50,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,-1
萌新天堂,2023-07-01 00:57,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,1
萌新天堂,2023-07-01 01:13,Ns,KU_3xJ72NY-,冰箱,暖石,heatrock,-1
萌新天堂,2023-07-01 01:17,簫,KU_MAFS6VNg,箱子,圣诞灯,winter_ornament_light2,1
萌新天堂,2023-07-01 01:17,簫,KU_MAFS6VNg,箱子,圣诞灯,winter_ornament_light3,1
萌新天堂,2023-07-01 01:17,簫,KU_MAFS6VNg,箱子,木头,log,6
萌新天堂,2023-07-01 01:17,簫,KU_MAFS6VNg,箱子,木板,boards,6
萌新天堂,2023-07-01 01:18,簫,KU_MAFS6VNg,箱子,金块,goldnugget,2
萌新天堂,2023-07-01 01:18,簫,KU_MAFS6VNg,箱子,圣诞灯,winter_ornament_light6,1
萌新天堂,2023-07-01 01:19,簫,KU_MAFS6VNg,箱子,圣诞灯,winter_ornament_light5,1
萌新天堂,2023-07-01 01:19,簫,KU_MAFS6VNg,箱子,圣诞灯,winter_ornament_light1,1
萌新天堂,2023-07-01 01:49,小腸兒,KU_To5PnzW_,箱子,木头,log,-20
萌新天堂,2023-07-01 02:02,Noodles,KU_vCuBTROo,盐盒,采摘的蓝蘑菇,blue_cap,35
萌新天堂,2023-07-01 02:03,Noodles,KU_vCuBTROo,冰箱,蜂蜜,honey,36
萌新天堂,2023-07-01 02:03,Noodles,KU_vCuBTROo,冰箱,无花果,fig,1
萌新天堂,2023-07-01 02:03,Noodles,KU_vCuBTROo,冰箱,腐烂物,spoiled_food,-30
萌新天堂,2023-07-01 02:03,Noodles,KU_vCuBTROo,冰箱,荧光果,lightbulb,14
萌新天堂,2023-07-01 02:03,Noodles,KU_vCuBTROo,冰箱,荧光果,lightbulb,-14
萌新天堂,2023-07-01 02:04,Noodles,KU_vCuBTROo,冰箱,荧光果,lightbulb,11
萌新天堂,2023-07-01 02:04,Noodles,KU_vCuBTROo,菌伞灯,启迪碎片,alterguardianhatshard,-1
萌新天堂,2023-07-01 02:07,Noodles,KU_vCuBTROo,冰箱,小鱼块,fishmeat_small,1
萌新天堂,2023-07-01 02:07,Noodles,KU_vCuBTROo,冰箱,叶肉,plantmeat,6
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,蛙腿,froglegs,2
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,怪物肉,monstermeat,1
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,冰箱,小鱼块,fishmeat_small,-1
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,冰箱,叶肉,plantmeat,-6
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,小鱼块,fishmeat_small,1
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,叶肉,plantmeat,6
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,叶肉,plantmeat,-6
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,叶肉,plantmeat,5
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,叶肉,plantmeat,-5
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,叶肉,plantmeat,4
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,小鱼块,fishmeat_small,-3
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,小鱼块,fishmeat_small,2
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,小鱼块,fishmeat_small,-2
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,盐盒,小鱼块,fishmeat_small,1
萌新天堂,2023-07-01 02:13,Noodles,KU_vCuBTROo,箱子,木炭,charcoal,3
萌新天堂,2023-07-01 02:14,Noodles,KU_vCuBTROo,箱子,石头,rocks,-8
萌新天堂,2023-07-01 02:14,Noodles,KU_vCuBTROo,箱子,石头,rocks,8
萌新天堂,2023-07-01 02:14,栗子,KU_qE7e81tw,菌伞灯,启迪碎片,alterguardianhatshard,1
萌新天堂,2023-07-01 02:16,栗子,KU_qE7e81tw,蘑菇灯,启迪碎片,alterguardianhatshard,1
萌新天堂,2023-07-01 02:21,栗子,KU_qE7e81tw,箱子,钓具箱,tacklecontainer,1
萌新天堂,2023-07-01 02:22,栗子,KU_qE7e81tw,箱子,采下的草,cutgrass,-33
萌新天堂,2023-07-01 02:22,栗子,KU_qE7e81tw,箱子,采下的草,cutgrass,33
萌新天堂,2023-07-01 02:22,栗子,KU_qE7e81tw,箱子,腐烂物,spoiled_food,-2
萌新天堂,2023-07-01 02:22,栗子,KU_qE7e81tw,箱子,树枝,twigs,40
萌新天堂,2023-07-01 02:22,栗子,KU_qE7e81tw,箱子,树枝,twigs,40
萌新天堂,2023-07-01 02:22,栗子,KU_qE7e81tw,箱子,树枝,twigs,40
萌新天堂,2023-07-01 02:22,栗子,KU_qE7e81tw,箱子,树枝,twigs,40
萌新天堂,2023-07-01 02:38,小腸兒,KU_To5PnzW_,冰箱,浆果,berries,7
萌新天堂,2023-07-01 02:44,小腸兒,KU_To5PnzW_,蘑菇灯,启迪碎片,alterguardianhatshard,-1
萌新天堂,2023-07-01 02:47,小腸兒,KU_To5PnzW_,箱子,木头,log,20
萌新天堂,2023-07-01 03:25,小腸兒,KU_To5PnzW_,冰箱,浆果,berries,-5
萌新天堂,2023-07-01 03:25,小腸兒,KU_To5PnzW_,冰箱,浆果,berries,2
萌新天堂,2023-07-01 03:29,小腸兒,KU_To5PnzW_,冰箱,浆果,berries,-2
萌新天堂,2023-07-01 03:31,小腸兒,KU_To5PnzW_,冰箱,怪物肉,monstermeat,1
萌新天堂,2023-07-01 04:04,小腸兒,KU_To5PnzW_,冰箱,暖石,heatrock,-1
