世界名,时间,玩家名,玩家ID,容器名,物品名,物品代码,数量
萌新天堂,2023-06-05 00:14,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:14,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:14,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:14,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:14,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:14,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:14,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:14,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:14,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:15,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:15,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:15,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:15,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:15,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:15,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:15,大米花,KU_XjTVYtQ0,菌伞灯,圣诞灯,winter_ornament_light3,1
萌新天堂,2023-06-05 00:15,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:15,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:15,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:16,大米花,KU_XjTVYtQ0,箱子,树果酱,treegrowthsolution,-1
萌新天堂,2023-06-05 00:29,大米花,KU_XjTVYtQ0,菌伞灯,圣诞灯,winter_ornament_light4,1
萌新天堂,2023-06-05 00:29,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:29,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 00:30,大米花,KU_XjTVYtQ0,菌伞灯,荧光果,lightbulb,1
萌新天堂,2023-06-05 01:19,一般的人机,KU_LnRtEGop,箱子,地图卷轴,mapscroll,-1
萌新天堂,2023-06-05 09:41,大米花,KU_XjTVYtQ0,箱子,腐烂物,spoiled_food,2
萌新天堂,2023-06-05 11:12,星澜,KU_tvX4yXh_,冰箱,肉,meat,8
萌新天堂,2023-06-05 11:12,星澜,KU_tvX4yXh_,冰箱,肉,meat,8
萌新天堂,2023-06-05 11:21,星澜,KU_tvX4yXh_,冰箱,肉,meat,-8
萌新天堂,2023-06-05 11:21,星澜,KU_tvX4yXh_,冰箱,肉,meat,-20
萌新天堂,2023-06-05 11:22,zxx15579,KU_cuIT10Qb,冰箱,怪物肉,monstermeat,20
萌新天堂,2023-06-05 11:22,zxx15579,KU_cuIT10Qb,冰箱,怪物肉,monstermeat,16
萌新天堂,2023-06-05 11:24,星澜,KU_tvX4yXh_,冰箱,熟肉,cookedmeat,16
萌新天堂,2023-06-05 11:24,星澜,KU_tvX4yXh_,冰箱,种子,seeds,3
萌新天堂,2023-06-05 11:25,zxx15579,KU_cuIT10Qb,冰箱,腐烂物,spoiled_food,-14
萌新天堂,2023-06-05 11:27,zxx15579,KU_cuIT10Qb,冰箱,怪物肉,monstermeat,-16
萌新天堂,2023-06-05 11:28,星澜,KU_tvX4yXh_,冰箱,筒状种子,asparagus_seeds,2
萌新天堂,2023-06-05 11:28,星澜,KU_tvX4yXh_,冰箱,怪物肉,monstermeat,-20
萌新天堂,2023-06-05 11:34,星澜,KU_tvX4yXh_,冰箱,怪物肉,monstermeat,13
萌新天堂,2023-06-05 11:34,zxx15579,KU_cuIT10Qb,冰箱,怪物肉,monstermeat,-13
